ENLIGHTEN Version,4.1.6
Measurement ID,20241210-124759-813875-WP-02071
Serial Number,WP-02071
Model,WP-785X-F13-R-ILC
Detector,S16011-1106
Label,enlighten-acetonitrile_ctrl_20241210-124759-813875-WP-02071
Declared Match,
Declared Score,0
Scan Averaging,2
Boxcar,0
Technique,Raman
Baseline Correction Algo,
ROI Pixel Start,10
ROI Pixel End,2047
ROI Vertical Pixel Start,0
ROI Vertical Pixel End,63
CCD C4,1.0143461591505254e-12
Slit Width,25
Cropped,True
Interpolated,False
Wavenumber Correction,0
Raman Intensity Corrected,False
Deconvolved,False
Region,
High Gain Mode,False
Laser Power mW,100.0
Electrical Dark Correction,False
Battery %,
Device ID,<DeviceID USB USB:0x24aa:0x1000:0:1>
FW Version,10.0.0.10
FPGA Version,035-001
Prefix,enlighten
Suffix,
Preset,
Session Count,7244
Plugin Name,
Integration Time,1000
Timestamp,2024-12-10 12:47:59.813875
Note,
Temperature,10.044919776654524
CCD C0,799.8416748046875
CCD C1,0.15680807828903198
CCD C2,1.0990047485393006e-05
CCD C3,-9.785007470952678e-09
CCD Offset,0
CCD Gain,1.9
CCD Offset Odd,0
CCD Gain Odd,1.9
Laser Wavelength,785.041
Laser Enable,True
Laser Power %,35.88870037949164
Laser Temperature,-95.6635622537485
Pixel Count,2048

Pixel,Wavelength,Wavenumber,Processed
95,814.83,465.68,-91.00
96,814.99,468.07,-196.50
97,815.15,470.46,-196.00
98,815.31,472.84,-188.50
99,815.46,475.23,-80.50
100,815.62,477.62,-160.50
101,815.78,480.00,-187.50
102,815.94,482.39,-217.00
103,816.10,484.77,-87.00
104,816.26,487.16,-171.00
105,816.42,489.54,-175.00
106,816.58,491.92,-317.00
107,816.73,494.30,-220.00
108,816.89,496.68,-232.50
109,817.05,499.06,-236.00
110,817.21,501.44,-282.00
111,817.37,503.82,-280.50
112,817.53,506.20,-471.50
113,817.69,508.58,-380.50
114,817.85,510.95,-363.00
115,818.01,513.33,-421.00
116,818.16,515.70,-442.50
117,818.32,518.08,-574.50
118,818.48,520.45,-554.00
119,818.64,522.82,-628.00
120,818.80,525.20,-512.00
121,818.96,527.57,-514.50
122,819.12,529.94,-537.50
123,819.28,532.31,-531.00
124,819.44,534.68,-633.50
125,819.60,537.05,-495.00
126,819.75,539.42,-519.50
127,819.91,541.78,-587.50
128,820.07,544.15,-586.50
129,820.23,546.52,-575.00
130,820.39,548.88,-598.00
131,820.55,551.25,-663.50
132,820.71,553.61,-625.00
133,820.87,555.97,-587.50
134,821.03,558.34,-613.50
135,821.19,560.70,-653.00
136,821.35,563.06,-656.00
137,821.51,565.42,-674.00
138,821.67,567.78,-571.00
139,821.82,570.14,-603.00
